Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Make_mean_encoded
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,X,18.3,14.2,16.5,17,380,264.3469387755102
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,E,23.7,18.8,21.5,13,344,264.3469387755102
CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,X,18.6,13.9,16.5,17,380,264.3469387755102
CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,E,23.9,18.5,21.5,13,344,264.3469387755102
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,X,18.3,14.2,16.5,17,380,264.3469387755102
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,E,25.3,19.3,22.6,12,362,264.3469387755102
CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,X,18.6,13.9,16.5,17,380,264.3469387755102
CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,E,23.9,18.5,21.5,13,344,264.3469387755102
CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,X,18.3,14.2,16.5,17,380,264.3469387755102
CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,E,25.3,19.3,22.6,12,362,264.3469387755102
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.1,14.2,18.0,16,414,264.3469387755102
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,21.9,15.0,18.8,15,432,264.3469387755102
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8,A6,E,30.0,20.4,25.7,11,411,264.3469387755102
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.3,14.3,18.2,16,419,264.3469387755102
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,22.1,15.0,18.9,15,435,264.3469387755102
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6.0,8,A6,E,30.2,20.5,25.8,11,413,264.3469387755102
CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,X,11.3,7.5,9.6,29,221,264.3469387755102
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,X,12.6,8.2,10.6,27,244,264.3469387755102
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,E,16.7,11.3,14.3,20,229,264.3469387755102
CHEVROLET,IMPALA ECO,FULL-SIZE,2.4,4,AS6,X,10.0,7.0,8.7,32,200,264.3469387755102
CHEVROLET,MALIBU,MID-SIZE,2.0,4,AS6,Z,11.5,7.9,9.9,29,228,264.3469387755102
CHEVROLET,MALIBU,MID-SIZE,2.5,4,AS6,X,9.3,6.4,8.0,35,184,264.3469387755102
CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,AS6,X,12.2,8.6,10.6,27,244,264.3469387755102
CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,M6,X,11.8,8.3,10.2,28,235,264.3469387755102
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,X,13.4,9.9,11.8,24,271,264.3469387755102
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,E,18.9,14.2,16.8,17,269,264.3469387755102
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.6,10.3,12.7,22,292,264.3469387755102
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.5,13.7,16.9,17,270,264.3469387755102
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,16.3,11.4,14.1,20,324,264.3469387755102
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,X,14.2,10.6,12.6,22,290,264.3469387755102
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,E,20.0,15.1,17.8,16,285,264.3469387755102
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.9,10.6,13.0,22,299,264.3469387755102
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.9,14.2,17.3,16,277,264.3469387755102
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,16.4,11.7,14.3,20,329,264.3469387755102
CHEVROLET,SONIC,COMPACT,1.4,4,AS6,X,9.1,6.7,8.0,35,184,264.3469387755102
CHEVROLET,SONIC,COMPACT,1.4,4,M6,X,8.5,6.2,7.5,38,173,264.3469387755102
CHEVROLET,SONIC,COMPACT,1.8,4,AS6,X,9.6,6.6,8.3,34,191,264.3469387755102
CHEVROLET,SONIC,COMPACT,1.8,4,M5,X,8.9,6.7,7.9,36,182,264.3469387755102
CHEVROLET,SONIC RS,COMPACT,1.4,4,AS6,X,9.4,7.0,8.3,34,191,264.3469387755102
CHEVROLET,SONIC RS,COMPACT,1.4,4,M6,X,8.8,7.0,8.0,35,184,264.3469387755102
CHEVROLET,SONIC 5,MID-SIZE,1.4,4,AS6,X,9.1,6.7,8.0,35,184,264.3469387755102
CHEVROLET,SONIC 5,MID-SIZE,1.4,4,M6,X,8.5,6.2,7.5,38,172,264.3469387755102
CHEVROLET,SONIC 5,MID-SIZE,1.8,4,AS6,X,9.6,6.6,8.3,34,191,264.3469387755102
CHEVROLET,SONIC 5,MID-SIZE,1.8,4,M5,X,8.9,6.7,7.9,36,182,264.3469387755102
CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,AS6,X,9.4,7.0,8.3,34,191,264.3469387755102
CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,M6,X,8.8,7.0,8.0,35,184,264.3469387755102
CHEVROLET,SPARK,SUBCOMPACT,1.2,4,AV,X,7.7,6.0,6.9,41,159,264.3469387755102
CHEVROLET,SPARK,SUBCOMPACT,1.2,4,M5,X,7.6,6.0,6.9,41,159,264.3469387755102
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,X,16.0,11.1,13.8,20,317,264.3469387755102
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294,264.3469387755102
CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,X,16.0,11.1,13.8,20,317,264.3469387755102
CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294,264.3469387755102
CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,X,16.0,11.1,13.8,20,317,264.3469387755102
CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294,264.3469387755102
CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,X,16.0,11.1,13.8,20,317,264.3469387755102
CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294,264.3469387755102
CHEVROLET,TRAVERSE,SUV - STANDARD,3.6,6,A6,X,14.3,9.9,12.3,23,283,264.3469387755102
CHEVROLET,TRAVERSE AWD,SUV - STANDARD,3.6,6,A6,X,14.6,10.2,12.6,22,290,264.3469387755102
CHEVROLET,TRAX,SUV - SMALL,1.4,4,AS6,X,9.4,7.1,8.4,34,193,264.3469387755102
CHEVROLET,TRAX,SUV - SMALL,1.4,4,M6,X,9.1,6.8,8.1,35,186,264.3469387755102
CHEVROLET,TRAX AWD,SUV - SMALL,1.4,4,AS6,X,10.0,7.8,9.0,31,207,264.3469387755102
CHRYSLER,300,FULL-SIZE,3.6,6,A8,X,12.4,7.7,10.3,27,237,246.17045454545453
CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,4,A4,X,11.7,8.2,10.1,28,232,246.17045454545453
CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,4,A6,X,12.9,8.1,10.7,26,246,246.17045454545453
CHRYSLER,200 CONVERTIBLE FFV,COMPACT,3.6,6,A6,X,12.5,8.1,10.5,27,242,246.17045454545453
CHRYSLER,200 CONVERTIBLE FFV,COMPACT,3.6,6,A6,E,17.0,11.2,14.4,20,230,246.17045454545453
CHRYSLER,200 SEDAN,MID-SIZE,2.4,4,A4,X,11.2,8.0,9.8,29,225,246.17045454545453
CHRYSLER,200 SEDAN,MID-SIZE,2.4,4,A6,X,12.0,7.6,10.0,28,230,246.17045454545453
CHRYSLER,200 SEDAN FFV,MID-SIZE,3.6,6,A6,X,12.5,8.1,10.5,27,242,246.17045454545453
CHRYSLER,200 SEDAN FFV,MID-SIZE,3.6,6,A6,E,17.0,11.2,14.4,20,230,246.17045454545453
CHRYSLER,300 (MDS),FULL-SIZE,5.7,8,A5,X,15.8,9.2,12.8,22,294,246.17045454545453
CHRYSLER,300 AWD,FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251,246.17045454545453
CHRYSLER,300 AWD (MDS),FULL-SIZE,5.7,8,A5,X,16.1,10.0,13.4,21,308,246.17045454545453
CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251,246.17045454545453
CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6,A8,E,17.3,11.7,14.8,19,237,246.17045454545453
CHRYSLER,300 FFV,FULL-SIZE,3.6,6,A8,X,12.4,7.7,10.3,27,237,246.17045454545453
CHRYSLER,300 FFV,FULL-SIZE,3.6,6,A8,E,16.8,10.3,13.9,20,222,246.17045454545453
CHRYSLER,300 SRT (MDS),FULL-SIZE,6.4,8,A5,Z,16.7,10.3,13.8,20,317,246.17045454545453
CHRYSLER,TOWN & COUNTRY FFV,MINIVAN,3.6,6,A6,X,14.1,9.5,12.0,24,276,246.17045454545453
CHRYSLER,TOWN & COUNTRY FFV,MINIVAN,3.6,6,A6,E,19.7,13.3,16.8,17,269,246.17045454545453
DODGE,AVENGER,MID-SIZE,2.4,4,A4,X,11.2,8.0,9.8,29,225,276.3617886178862
DODGE,AVENGER,MID-SIZE,2.4,4,A6,X,12.0,7.6,10.0,28,230,276.3617886178862
DODGE,AVENGER FFV,MID-SIZE,3.6,6,A6,X,12.5,8.1,10.5,27,242,276.3617886178862
DODGE,AVENGER FFV,MID-SIZE,3.6,6,A6,E,17.0,11.2,14.4,20,230,276.3617886178862
DODGE,CHALLENGER,MID-SIZE,3.6,6,A5,X,13.2,8.7,11.2,25,258,276.3617886178862
DODGE,CHALLENGER,MID-SIZE,5.7,8,M6,X,15.6,10.0,13.1,22,301,276.3617886178862
DODGE,CHALLENGER (MDS),MID-SIZE,5.7,8,A5,X,15.8,9.2,12.8,22,294,276.3617886178862
DODGE,CHALLENGER SRT,MID-SIZE,6.4,8,M6,Z,16.8,10.4,13.9,20,320,276.3617886178862
DODGE,CHALLENGER SRT (MDS),MID-SIZE,6.4,8,A5,Z,16.7,10.3,13.8,20,317,276.3617886178862
DODGE,CHARGER,FULL-SIZE,3.6,6,A5,X,13.2,8.7,11.2,25,258,276.3617886178862
DODGE,CHARGER,FULL-SIZE,3.6,6,A8,X,12.4,7.7,10.3,27,237,276.3617886178862
DODGE,CHARGER (MDS),FULL-SIZE,5.7,8,A5,X,15.8,9.2,12.8,22,294,276.3617886178862
DODGE,CHARGER AWD,FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251,276.3617886178862
DODGE,CHARGER AWD (MDS),FULL-SIZE,5.7,8,A5,X,16.1,10.0,13.4,21,308,276.3617886178862
DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251,276.3617886178862
DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6,A8,E,17.3,11.7,14.8,19,237,276.3617886178862
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A5,X,13.2,8.7,11.2,25,258,276.3617886178862
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A5,E,18.3,12.6,15.7,18,251,276.3617886178862
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A8,X,12.3,7.6,10.2,28,235,276.3617886178862
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A8,E,16.8,10.3,13.9,20,222,276.3617886178862
DODGE,CHARGER SRT (MDS),FULL-SIZE,6.4,8,A5,Z,16.7,10.3,13.8,20,317,276.3617886178862
DODGE,DART,MID-SIZE,2.0,4,M6,X,9.4,6.5,8.1,35,186,276.3617886178862
DODGE,DART,MID-SIZE,2.4,4,A6,X,10.1,6.8,8.6,33,198,276.3617886178862
DODGE,DART,MID-SIZE,2.4,4,M6,X,10.5,6.7,8.8,32,202,276.3617886178862
DODGE,DART FFV,MID-SIZE,2.0,4,A6,X,9.9,7.0,8.6,33,198,276.3617886178862
DODGE,DART FFV,MID-SIZE,2.0,4,A6,E,14.2,9.8,12.2,23,195,276.3617886178862
DODGE,DART GT,MID-SIZE,2.4,4,A6,X,10.6,7.5,9.2,31,212,276.3617886178862
DODGE,DART GT,MID-SIZE,2.4,4,M6,X,10.2,7.0,8.8,32,202,276.3617886178862
DODGE,DART TURBO AERO,MID-SIZE,1.4,4,AM6,X,8.4,5.9,7.3,39,168,276.3617886178862
DODGE,DART TURBO AERO,MID-SIZE,1.4,4,M6,X,8.5,5.8,7.3,39,168,276.3617886178862
DODGE,DURANGO AWD (MDS),SUV - STANDARD,5.7,8,A8,X,17.3,10.8,14.4,20,331,276.3617886178862
DODGE,DURANGO AWD FFV,SUV - STANDARD,3.6,6,A8,X,13.9,9.8,12.1,23,278,276.3617886178862
DODGE,DURANGO AWD FFV,SUV - STANDARD,3.6,6,A8,E,17.7,13.0,15.6,18,250,276.3617886178862
DODGE,GRAND CARAVAN FFV,MINIVAN,3.6,6,A6,X,13.7,9.4,11.8,24,271,276.3617886178862
DODGE,GRAND CARAVAN FFV,MINIVAN,3.6,6,A6,E,19.2,13.1,16.5,17,264,276.3617886178862
DODGE,JOURNEY,SUV - SMALL,2.4,4,A4,X,12.7,9.1,11.1,25,255,276.3617886178862
DODGE,JOURNEY AWD,SUV - SMALL,3.6,6,A6,X,14.5,9.9,12.4,23,285,276.3617886178862
DODGE,JOURNEY FFV,SUV - SMALL,3.6,6,A6,X,14.2,9.4,12.0,24,276,276.3617886178862
DODGE,JOURNEY FFV,SUV - SMALL,3.6,6,A6,E,18.9,12.9,16.2,17,259,276.3617886178862
FIAT,500 ABARTH CABRIO,MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,179,192.24657534246575
FIAT,500 ABARTH HATCHBACK,MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,179,192.24657534246575
FIAT,500 CABRIO,MINICOMPACT,1.4,4,A6,X,8.7,6.9,7.9,36,182,192.24657534246575
FIAT,500 CABRIO,MINICOMPACT,1.4,4,M5,X,7.9,6.3,7.2,39,166,192.24657534246575
FIAT,500 CABRIO TURBO,MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,179,192.24657534246575
FIAT,500 HATCHBACK,MINICOMPACT,1.4,4,A6,X,8.7,6.9,7.9,36,182,192.24657534246575
FIAT,500 HATCHBACK,MINICOMPACT,1.4,4,M5,X,7.6,5.9,6.8,42,156,192.24657534246575
FIAT,500 HATCHBACK TURBO,MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,179,192.24657534246575
FIAT,500L TURBO,STATION WAGON - SMALL,1.4,4,AM6,X,10.0,7.2,8.7,32,200,192.24657534246575
FIAT,500L TURBO,STATION WAGON - SMALL,1.4,4,M6,X,9.3,7.2,8.4,34,193,192.24657534246575
FORD,C-MAX HYBRID,FULL-SIZE,2.0,4,AV,X,5.6,6.4,6.0,47,138,260.9888535031847
FORD,E150 VAN FFV,VAN - CARGO,4.6,8,A4,X,17.7,14.4,16.2,17,373,260.9888535031847
FORD,E150 VAN FFV,VAN - CARGO,4.6,8,A4,E,24.1,19.2,21.9,13,350,260.9888535031847
FORD,E150 VAN FFV,VAN - CARGO,5.4,8,A4,X,19.3,14.7,17.2,16,396,260.9888535031847
FORD,E150 VAN FFV,VAN - CARGO,5.4,8,A4,E,24.9,19.6,22.5,13,360,260.9888535031847
FORD,E150 WAGON FFV,VAN - PASSENGER,4.6,8,A4,X,18.6,14.6,16.8,17,386,260.9888535031847
FORD,E150 WAGON FFV,VAN - PASSENGER,4.6,8,A4,E,25.5,20.0,23.0,12,368,260.9888535031847
FORD,E350 WAGON,VAN - PASSENGER,6.8,10,A5,X,23.9,17.8,21.2,13,488,260.9888535031847
FORD,E350 WAGON FFV,VAN - PASSENGER,5.4,8,A4,X,20.6,15.5,18.3,15,421,260.9888535031847
FORD,E350 WAGON FFV,VAN - PASSENGER,5.4,8,A4,E,26.7,20.5,23.9,12,382,260.9888535031847
FORD,EDGE,SUV - SMALL,2.0,4,A6,X,11.3,7.9,9.8,29,225,260.9888535031847
FORD,EDGE,SUV - SMALL,3.5,6,AS6,X,12.6,8.7,10.8,26,248,260.9888535031847
FORD,EDGE AWD,SUV - SMALL,3.5,6,AS6,X,13.3,9.3,11.5,25,264,260.9888535031847
FORD,EDGE AWD,SUV - SMALL,3.7,6,AS6,X,13.7,10.4,12.2,23,281,260.9888535031847
FORD,ESCAPE,SUV - SMALL,1.6,4,AS6,X,10.4,7.4,9.1,31,209,260.9888535031847
FORD,ESCAPE,SUV - SMALL,2.0,4,AS6,X,10.9,8.0,9.6,29,221,260.9888535031847
FORD,ESCAPE,SUV - SMALL,2.5,4,AS6,X,10.9,7.5,9.4,30,216,260.9888535031847
FORD,ESCAPE AWD,SUV - SMALL,1.6,4,AS6,X,10.5,7.9,9.3,30,214,260.9888535031847
FORD,ESCAPE AWD,SUV - SMALL,2.0,4,AS6,X,11.2,8.5,10.0,28,230,260.9888535031847
FORD,EXPEDITION 4X4 FFV,SUV - STANDARD,5.4,8,A6,X,18.2,13.3,16.0,18,368,260.9888535031847
FORD,EXPEDITION 4X4 FFV,SUV - STANDARD,5.4,8,A6,E,24.5,18.0,21.6,13,346,260.9888535031847
FORD,EXPLORER,SUV - STANDARD,2.0,4,A6,X,11.8,8.3,10.2,28,235,260.9888535031847
FORD,EXPLORER AWD,SUV - STANDARD,3.5,6,AS6,X,14.8,10.7,13.0,22,299,260.9888535031847
FORD,EXPLORER FFV,SUV - STANDARD,3.5,6,AS6,X,13.7,9.7,11.9,24,274,260.9888535031847
FORD,EXPLORER FFV,SUV - STANDARD,3.5,6,AS6,E,18.3,12.9,15.9,18,254,260.9888535031847
FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6,AS6,X,14.3,10.3,12.5,23,288,260.9888535031847
FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6,AS6,E,18.9,13.9,16.7,17,267,260.9888535031847
FORD,F-150,PICKUP TRUCK - STANDARD,3.5,6,A6,X,14.5,10.6,12.7,22,292,260.9888535031847
FORD,F-150,PICKUP TRUCK - STANDARD,3.5,6,AS6,X,14.6,10.6,12.8,22,294,260.9888535031847
FORD,F-150,PICKUP TRUCK - STANDARD,6.2,8,AS6,X,18.3,12.9,15.9,18,366,260.9888535031847
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,3.5,6,A6,X,15.9,11.3,13.8,20,317,260.9888535031847
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,3.5,6,AS6,X,15.4,11.0,13.4,21,308,260.9888535031847
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,6.2,8,AS6,X,20.1,14.4,17.5,16,402,260.9888535031847
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.7,6,A6,X,14.0,10.3,12.3,23,283,260.9888535031847
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.7,6,A6,E,18.8,13.7,16.5,17,264,260.9888535031847
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.7,6,AS6,X,14.0,10.3,12.3,23,283,260.9888535031847
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.7,6,AS6,E,18.8,13.7,16.5,17,264,260.9888535031847
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8,A6,X,16.4,12.3,14.6,19,336,260.9888535031847
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8,A6,E,22.1,16.7,19.7,14,315,260.9888535031847
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8,AS6,X,16.4,12.3,14.6,19,336,260.9888535031847
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8,AS6,E,22.1,16.7,19.7,14,315,260.9888535031847
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6,A6,X,15.0,11.4,13.4,21,308,260.9888535031847
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6,A6,E,20.2,15.3,18.0,16,288,260.9888535031847
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6,AS6,X,15.0,11.4,13.4,21,308,260.9888535031847
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6,AS6,E,20.2,15.3,18.0,16,288,260.9888535031847
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8,A6,X,16.8,12.6,14.9,19,343,260.9888535031847
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8,A6,E,22.4,17.0,20.0,14,320,260.9888535031847
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8,AS6,X,16.7,12.5,14.8,19,340,260.9888535031847
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8,AS6,E,22.4,16.9,19.9,14,318,260.9888535031847
FORD,F-150 RAPTOR 4X4,PICKUP TRUCK - STANDARD,6.2,8,AS6,X,20.4,15.0,18.0,16,414,260.9888535031847
FORD,FIESTA,SUBCOMPACT,1.6,4,AS6,X,8.5,6.5,7.6,37,175,260.9888535031847
FORD,FIESTA,SUBCOMPACT,1.6,4,M5,X,8.6,6.4,7.6,37,175,260.9888535031847
FORD,FIESTA SFE,SUBCOMPACT,1.0,4,M5,X,7.5,5.5,6.6,43,152,260.9888535031847
FORD,FIESTA SFE,SUBCOMPACT,1.6,4,AS6,X,8.0,5.8,7.0,40,161,260.9888535031847
FORD,FIESTA ST,COMPACT,1.6,4,M6,X,8.9,6.8,8.0,35,184,260.9888535031847
FORD,FLEX,SUV - STANDARD,3.5,6,AS6,X,13.2,9.4,11.5,25,264,260.9888535031847
FORD,FLEX AWD,SUV - STANDARD,3.5,6,AS6,X,13.7,10.2,12.1,23,278,260.9888535031847
FORD,FLEX AWD (EcoBoost),SUV - STANDARD,3.5,6,AS6,X,14.8,10.4,12.8,22,294,260.9888535031847
FORD,FOCUS,COMPACT,2.0,4,M6,X,10.2,7.4,8.9,32,205,260.9888535031847
FORD,FOCUS FFV,COMPACT,2.0,4,A6,X,8.8,6.4,7.7,37,177,260.9888535031847
FORD,FOCUS FFV,COMPACT,2.0,4,A6,E,11.7,8.5,10.3,27,165,260.9888535031847
FORD,FOCUS FFV,COMPACT,2.0,4,AS6,X,8.9,6.4,7.8,36,179,260.9888535031847
FORD,FOCUS FFV,COMPACT,2.0,4,AS6,E,11.7,8.5,10.3,27,165,260.9888535031847
FORD,FOCUS FFV,COMPACT,2.0,4,M5,X,9.1,6.6,8.0,35,184,260.9888535031847
FORD,FOCUS FFV,COMPACT,2.0,4,M5,E,11.9,8.9,10.6,27,170,260.9888535031847
FORD,FOCUS SFE FFV,COMPACT,2.0,4,A6,X,8.4,5.8,7.2,39,166,260.9888535031847
FORD,FOCUS SFE FFV,COMPACT,2.0,4,A6,E,11.6,8.3,10.1,28,162,260.9888535031847
FORD,FUSION,MID-SIZE,1.5,4,AS6,X,10.1,6.6,8.5,33,196,260.9888535031847
FORD,FUSION,MID-SIZE,1.6,4,M6,X,9.4,6.4,8.1,35,186,260.9888535031847
FORD,FUSION,MID-SIZE,2.0,4,AS6,X,10.5,7.1,9.0,31,207,260.9888535031847
FORD,FUSION,MID-SIZE,2.5,4,AS6,X,10.5,7.0,8.9,32,205,260.9888535031847
FORD,FUSION (Start/Stop),MID-SIZE,1.5,4,AS6,X,9.5,6.3,8.1,35,186,260.9888535031847
FORD,FUSION AWD,MID-SIZE,2.0,4,AS6,X,10.9,7.5,9.4,30,216,260.9888535031847
FORD,FUSION HYBRID,MID-SIZE,2.0,4,AV,X,5.3,5.7,5.5,51,126,260.9888535031847
FORD,MUSTANG,SUBCOMPACT,3.7,6,A6,X,12.1,7.8,10.2,28,235,260.9888535031847
FORD,MUSTANG,SUBCOMPACT,3.7,6,M6,X,12.7,8.1,10.6,27,244,260.9888535031847
FORD,MUSTANG,SUBCOMPACT,5.0,8,A6,X,13.3,9.3,11.5,25,264,260.9888535031847
FORD,MUSTANG,SUBCOMPACT,5.0,8,M6,X,15.4,9.4,12.7,22,292,260.9888535031847
FORD,MUSTANG,SUBCOMPACT,5.8,8,M6,Z,15.9,9.9,13.2,21,304,260.9888535031847
FORD,MUSTANG CONVERTIBLE,SUBCOMPACT,3.7,6,A6,X,12.5,8.2,10.6,27,244,260.9888535031847
FORD,TAURUS,FULL-SIZE,2.0,4,AS6,X,10.5,7.3,9.1,31,209,260.9888535031847
FORD,TAURUS AWD,FULL-SIZE,3.5,6,AS6,X,13.7,9.4,11.8,24,271,260.9888535031847
FORD,TAURUS FFV,FULL-SIZE,3.5,6,AS6,X,12.1,8.1,10.3,27,237,260.9888535031847
FORD,TAURUS FFV,FULL-SIZE,3.5,6,AS6,E,17.0,11.1,14.3,20,229,260.9888535031847
FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6,AS6,X,13.0,9.1,11.2,25,258,260.9888535031847
FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6,AS6,E,18.4,12.5,15.7,18,251,260.9888535031847
FORD,TRANSIT CONNECT,SPECIAL PURPOSE VEHICLE,1.6,4,AS6,X,10.8,8.0,9.5,30,218,260.9888535031847
FORD,TRANSIT CONNECT,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,X,11.3,8.2,9.9,29,228,260.9888535031847
FORD,TRANSIT CONNECT TAXI,SPECIAL PURPOSE VEHICLE,1.6,4,AS6,X,11.5,8.3,10.1,28,232,260.9888535031847
FORD,TRANSIT CONNECT WAGON,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,X,11.9,8.5,10.4,27,239,260.9888535031847
GMC,ACADIA,SUV - STANDARD,3.6,6,A6,X,14.3,9.9,12.3,23,283,299.9176829268293
GMC,ACADIA AWD,SUV - STANDARD,3.6,6,A6,X,14.9,10.4,12.9,22,297,299.9176829268293
GMC,SAVANA 1500 CARGO,VAN - CARGO,4.3,6,A4,X,17.1,12.7,15.1,19,347,299.9176829268293
GMC,SAVANA 1500 CARGO,VAN - CARGO,5.3,8,A4,X,18.0,13.4,15.9,18,366,299.9176829268293
GMC,SAVANA 1500 CARGO,VAN - CARGO,5.3,8,A4,E,23.5,17.7,20.9,14,334,299.9176829268293
GMC,SAVANA 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,X,18.3,14.2,16.5,17,380,299.9176829268293
GMC,SAVANA 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,E,23.7,18.8,21.5,13,344,299.9176829268293
GMC,SAVANA 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,X,18.6,13.9,16.5,17,380,299.9176829268293
